,amostras
1285,6107.961989480316
1286,6057.813693545824
1287,6007.295330263049
1288,5956.370373607517
1289,5905.605700044845
1290,5855.732523208204
1291,5807.104146567145
1292,5759.444666792327
1293,5712.091299642002
1294,5664.589026050876
1295,5616.999966057124
1296,5569.758915396324
1297,5523.581172783188
1298,5479.275302341988
1299,5437.383039069064
1300,5398.259636247963
1301,5362.232858552744
1302,5329.477575934013
1303,5299.953993411464
1304,5273.53241899307
1305,5250.4037767159
1306,5231.099358794576
1307,5215.8494791170315
1308,5204.484981145028
1309,5196.816888949916
1310,5192.61118468349
1311,5191.578533481834
1312,5193.551905490479
1313,5198.462589036721
1314,5206.3373201986715
1315,5217.492708368853
1316,5232.426784531922
1317,5251.3048116691025
1318,5273.872750748206
1319,5299.80742456506
1320,5328.946226234965
1321,5361.439396904733
1322,5397.5156481300455
1323,5437.031138327554
1324,5479.6241369093195
1325,5525.177931130034
1326,5573.7505445916695
1327,5625.1091834512545
1328,5678.706753888311
1329,5734.103332773505
1330,5791.0262698890065
1331,5849.0927051507315
1332,5907.8655060649735
1333,5967.121002684971
1334,6026.7540590521185
1335,6086.515776427612
1336,6146.04930390586
1337,6205.047890154802
1338,6263.352460945447
1339,6320.921108536459
1340,6377.5547635436
1341,6432.892103542758
1342,6486.824642718847
1343,6539.515341094159
1344,6590.999342730997
1345,6641.23244306162
1346,6690.4405582633
1347,6738.86653481432
1348,6786.322684102693
1349,6832.402144527746
