Tempo,Velocidade RPM,amostra_ajustada
6.405583999999999,4055.43,3780.1343868613135
6.423272,4036.64,3762.619912408759
6.440951999999999,4038.46,3764.3163649635035
6.4586239999999995,4023.31,3750.1947956204376
6.476304,4055.43,3780.1343868613135
6.493983999999999,4004.52,3732.680321167883
6.511672,4019.67,3746.801890510949
6.529344,4057.27,3781.8494817518244
6.547032,4019.67,3746.801890510949
6.564704,4006.34,3734.3767737226276
6.582392,4036.64,3762.619912408759
6.600067999999999,4039.38,3765.173912408759
6.617744,4022.4,3749.3465693430658
6.6354239999999995,4038.46,3764.3163649635035
6.653112,4053.6,3778.4286131386857
6.670783999999999,4023.31,3750.1947956204376
6.688464,4021.49,3748.498343065693
6.7061519999999994,4053.6,3778.4286131386857
6.723824,4040.29,3766.0221386861313
6.741504,4021.49,3748.498343065693
6.759183999999999,4038.46,3764.3163649635035
6.776872,4053.6,3778.4286131386857
6.794543999999999,4040.29,3766.0221386861313
6.812227999999999,4037.55,3763.4681386861316
6.829908,4038.46,3764.3163649635035
6.8475839999999994,4039.38,3765.173912408759
6.865272,4019.67,3746.801890510949
6.882943999999999,4057.27,3781.8494817518244
6.900627999999999,4037.55,3763.4681386861316
6.918311999999999,4037.55,3763.4681386861316
6.9359839999999995,4057.27,3781.8494817518244
6.953672,4053.6,3778.4286131386857
6.971343999999999,4040.29,3766.0221386861313
6.989032,4036.64,3762.619912408759
7.006704,4091.22,3813.494846715328
7.024392,4036.64,3762.619912408759
7.0420679999999996,4056.35,3780.991934306569
7.059743999999999,4073.32,3796.8099562043794
7.077432,4053.6,3778.4286131386857
7.095104,4057.27,3781.8494817518244
7.112792,4053.6,3778.4286131386857
7.130471999999999,4072.4,3795.952408759124
7.148152,4038.46,3764.3163649635035
7.165824,4057.27,3781.8494817518244
7.183504,4072.4,3795.952408759124
7.201184,4055.43,3780.1343868613135
7.218864,4038.46,3764.3163649635035
7.236552,4053.6,3778.4286131386857
7.254224,4057.27,3781.8494817518244
7.2719119999999995,4036.64,3762.619912408759
7.289584,4057.27,3781.8494817518244
7.307268,4071.48,3795.0948613138685
7.324952,4020.58,3747.650116788321
7.342632,4038.46,3764.3163649635035
7.360303999999999,4074.24,3797.6675036496345
7.377987999999999,4037.55,3763.4681386861316
7.395664,4039.38,3765.173912408759
7.4133439999999995,4072.4,3795.952408759124
7.431024,4072.4,3795.952408759124
7.4487119999999996,4036.64,3762.619912408759
7.466384,4074.24,3797.6675036496345
7.484071999999999,4087.52,3810.04601459854
7.501752,4055.43,3780.1343868613135
7.519424,4057.27,3781.8494817518244
7.537103999999999,4072.4,3795.952408759124
7.554784,4072.4,3795.952408759124
